Country,Other names,ISO 3166-1 alpha-3 CODE,Population,Continent,Total Cases,Total Deaths,cases,deaths,test
0.49553571428571425,0.5044642857142857,0.5089285714285714,0.004704388199471042,0.2,0.013355409021055241,0.010230881690738746,0.2318733971711193,0.24228444161629017,0.0519914183128071
0.5,0.5089285714285714,0.5357142857142857,0.0015084682477425702,0.0,0.00040211854362778474,0.0006913159998492395,0.02175608985180343,0.05106586064269806,0.11667706706586381
0.5044642857142857,0.5133928571428571,0.5133928571428571,0.003657860053704375,0.0,9.040916175824179e-05,0.0002916024446996792,0.002005646267788258,0.008908685968819599,0.21887502991626903
0.5089285714285714,0.5178571428571428,0.5178571428571428,0.004887038657566177,0.0,0.00613077734735707,0.006366653375942996,0.10245605465242409,0.14508431434934776,0.07048082664199454
0.5133928571428571,0.5223214285714285,0.5267857142857143,2.606433771701404e-05,0.4,0.0002007354655175559,8.331498419990835e-05,0.6159503473244881,0.34871142220808143,0.028167529925371432
0.5178571428571428,0.5267857142857143,0.5401785714285714,0.0018446214320857943,0.4,0.012597470124623023,0.008834363860340281,0.5577075865437802,0.5335666560610881,0.047595699864315784
0.5223214285714285,0.53125,0.5446428571428571,0.00044673503651044004,0.4,0.0026512770779807794,0.0010285433168488686,0.48419835209436307,0.2562838052815781,0.026329442326765307
0.5267857142857143,0.008928571428571428,0.5535714285714285,0.00046134398837437856,0.2,9.897475472925512e-07,0.0,0.00016378486714030188,0.0,0.0
0.53125,0.5357142857142857,0.5758928571428571,0.02010353519189405,0.0,0.0007826214895869211,0.0013766809293984856,0.003166507431379169,0.007636016544702513,0.11938532330405682
0.5357142857142857,0.5401785714285714,0.6428571428571428,0.013891148409942248,0.0,0.0010467252363422445,0.0026045851012971347,0.00614193251776132,0.020839961819917277,0.16887951771127058
0.5401785714285714,0.5446428571428571,0.6473214285714285,0.022990688446394566,0.2,0.0518880161501384,0.0348127694099117,0.18435136164129678,0.16878778237352848,0.04553523658727902
0.5446428571428571,0.5491071428571428,0.5803571428571428,0.00038656994379338645,0.2,0.002162683924572879,0.00029556982489967486,0.45635061455242915,0.08510976773783009,0.009275573741947173
0.5491071428571428,0.5535714285714285,0.5982142857142857,0.014777920889584692,0.0,0.00037260940379184017,0.0007220631963992057,0.0020473108392537733,0.005408845052497614,0.1315174408310867
0.5535714285714285,0.5580357142857143,0.6026785714285714,0.0003076425575924474,0.4,0.0009970179150782185,0.0006357726770493007,0.26425538945599,0.22987591473114857,0.043278257619814554
0.5580357142857143,0.5625,0.5892857142857143,4.104985551571524e-05,1.0,7.331463313278157e-08,0.0,0.00015516461097502283,0.0,0.0
0.5625,0.5669642857142857,0.6339285714285714,0.00025981034662442,0.6000000000000001,0.0017279525883065285,0.0009015871504490082,0.5421322203624819,0.3859370028635062,0.0354118823593108
0.5669642857142857,0.5714285714285714,0.625,0.003378420339266579,0.0,0.0007168827018778603,0.0009739918390989286,0.0173180946360456,0.03213490295895641,0.09220957224717316
0.5714285714285714,0.5758928571428571,0.6383928571428571,0.0008855955374035367,0.0,0.00044754917795906507,0.0009601060083989438,0.041245052332138474,0.1207445116131085,0.1455937591992147
0.5758928571428571,0.5803571428571428,0.6517857142857143,0.00019698497537562056,0.0,0.0004507628027113853,0.00018547502434979597,0.18639579906182882,0.10467706013363029,0.027925553312030532
0.5803571428571428,0.5848214285714285,0.5848214285714285,0.09122563361076241,0.6000000000000001,0.06922581494743872,0.32057622230024735,0.06197676840963458,0.3916640152720331,0.3142963560949585
0.5848214285714285,0.5892857142857143,0.3125,8.082202698340734e-05,1.0,0.0,0.0,0.0,0.0,0.0
0.5892857142857143,0.71875,0.5714285714285714,0.0027907183314175013,0.4,0.006283039621268335,0.011352658442287512,0.18386862729604117,0.4532293986636971,0.12263180527595904
0.59375,0.59375,0.5669642857142857,2.7043270193177516e-05,0.4,0.00013246732296541414,5.3559632699941084e-05,0.3920636174904998,0.21619471842188992,0.027438790554840588
