maxIteration,Clusters,Workers,ByteSize,RecordCount,FeaturesCount,ExecutionSpeed,Accuracy,Algorithm
10,2,5,320,10,3,6.198261737823486,1.8035179095849023,KMeans
10,2,5,320,10,3,4.505324125289917,2.4222458056354803,BisectingKMeans
10,2,5,320,10,3,4.4892051219940186,19.567024363018504,GaussianMixture
25,2,5,320,10,3,1.8187894821166992,1.8035179095849023,KMeans
25,2,5,320,10,3,2.244605541229248,2.4222458056354803,BisectingKMeans
25,2,5,320,10,3,4.152510643005371,19.567024363018504,GaussianMixture
50,2,5,320,10,3,1.1710824966430664,1.8035179095849023,KMeans
50,2,5,320,10,3,3.447873592376709,2.4222458056354803,BisectingKMeans
50,2,5,320,10,3,2.362330436706543,19.567024363018504,GaussianMixture
10,3,5,320,10,3,0.8046810626983643,1.2059352384641722,KMeans
10,3,5,320,10,3,1.5288870334625244,1.7870398163915377,BisectingKMeans
10,3,5,320,10,3,1.065443992614746,70.33519988576666,GaussianMixture
25,3,5,320,10,3,0.8292713165283203,1.2059352384641722,KMeans
25,3,5,320,10,3,2.4525721073150635,1.7870398163915377,BisectingKMeans
25,3,5,320,10,3,1.8683445453643799,60.63282062715514,GaussianMixture
50,3,5,320,10,3,6.801729202270508,1.2189621243553854,KMeans
50,3,5,320,10,3,8.164817571640015,1.5808591588901622,BisectingKMeans
50,3,5,320,10,3,5.641061067581177,56.91915522686783,GaussianMixture
10,5,5,320,10,3,1.5981626510620117,0.2900612904664156,KMeans
10,5,5,320,10,3,1.9904086589813232,0.561309155048344,BisectingKMeans
10,5,5,320,10,3,4.377004623413086,105.65312330978068,GaussianMixture
25,5,5,320,10,3,1.2703652381896973,0.2900612904664156,KMeans
25,5,5,320,10,3,4.231324195861816,0.561309155048344,BisectingKMeans
25,5,5,320,10,3,2.3041770458221436,86.60409360259678,GaussianMixture
50,5,5,320,10,3,0.7924985885620117,0.2900612904664156,KMeans
50,5,5,320,10,3,6.79332160949707,0.561309155048344,BisectingKMeans
50,5,5,320,10,3,2.8982956409454346,132.71127334983936,GaussianMixture
10,2,5,480,10,5,1.3363440036773682,3.315769811060422,KMeans
10,2,5,480,10,5,1.079294204711914,3.614189736171935,BisectingKMeans
10,2,5,480,10,5,1.3267879486083984,138.61863739328894,GaussianMixture
