maxIteration,Clusters,Workers,ByteSize,RecordCount,FeaturesCount,ExecutionSpeed,Accuracy,Algorithm
10,2,3,320,10,3,6.0428550243377686,1.270931616820501,KMeans
10,2,3,320,10,3,2.0042102336883545,1.3610012719496736,BisectingKMeans
10,2,3,320,10,3,5.9890220165252686,7.706754895719582,GaussianMixture
25,2,3,320,10,3,1.3145315647125244,1.270931616820501,KMeans
25,2,3,320,10,3,2.137005090713501,1.3610012719496736,BisectingKMeans
25,2,3,320,10,3,1.1230084896087646,7.706754895719582,GaussianMixture
50,2,3,320,10,3,1.0833940505981445,1.270931616820501,KMeans
50,2,3,320,10,3,2.9309568405151367,1.3610012719496736,BisectingKMeans
50,2,3,320,10,3,0.8708183765411377,7.706754895719582,GaussianMixture
10,3,3,320,10,3,0.640385627746582,0.88463123181236,KMeans
10,3,3,320,10,3,1.238778829574585,1.212775127915454,BisectingKMeans
10,3,3,320,10,3,0.8662662506103516,9.295916234230551,GaussianMixture
25,3,3,320,10,3,0.5420079231262207,0.88463123181236,KMeans
25,3,3,320,10,3,2.4696152210235596,1.212775127915454,BisectingKMeans
25,3,3,320,10,3,1.5953409671783447,39.0143734241388,GaussianMixture
50,3,3,320,10,3,0.48297595977783203,0.88463123181236,KMeans
50,3,3,320,10,3,4.257443428039551,1.212775127915454,BisectingKMeans
50,3,3,320,10,3,2.694232702255249,9.2959162342306,GaussianMixture
10,5,3,320,10,3,0.4740447998046875,0.3732834271529871,KMeans
10,5,3,320,10,3,1.376542568206787,0.6488300674714528,BisectingKMeans
10,5,3,320,10,3,0.6713018417358398,67.01993360936925,GaussianMixture
25,5,3,320,10,3,0.4657266139984131,0.3732834271529871,KMeans
25,5,3,320,10,3,2.965313673019409,0.6488300674714528,BisectingKMeans
25,5,3,320,10,3,1.3285017013549805,97.374766513275,GaussianMixture
50,5,3,320,10,3,0.4621541500091553,0.3732834271529871,KMeans
50,5,3,320,10,3,5.689234256744385,0.6488300674714528,BisectingKMeans
50,5,3,320,10,3,2.3827624320983887,173.44434673494482,GaussianMixture
10,2,3,480,10,5,0.7546646595001221,4.058192412304993,KMeans
10,2,3,480,10,5,0.7249236106872559,3.860293891469541,BisectingKMeans
10,2,3,480,10,5,0.9262039661407471,119.37450868056128,GaussianMixture
25,2,3,480,10,5,0.6914944648742676,4.058192412304993,KMeans
25,2,3,480,10,5,1.4741103649139404,3.860293891469541,BisectingKMeans
25,2,3,480,10,5,1.5852534770965576,30.85656790697834,GaussianMixture
50,2,3,480,10,5,0.6293497085571289,4.058192412304993,KMeans
50,2,3,480,10,5,2.558065414428711,3.860293891469541,BisectingKMeans
50,2,3,480,10,5,2.8679745197296143,-12.423212091339614,GaussianMixture
10,3,3,480,10,5,0.4848668575286865,2.0573955040738205,KMeans
10,3,3,480,10,5,0.9860084056854248,2.89447181279848,BisectingKMeans
10,3,3,480,10,5,0.7313611507415771,124.29234189551775,GaussianMixture
25,3,3,480,10,5,0.46763181686401367,2.0573955040738205,KMeans
25,3,3,480,10,5,2.221308946609497,2.89447181279848,BisectingKMeans
25,3,3,480,10,5,1.2484517097473145,24.544709462147463,GaussianMixture
50,3,3,480,10,5,0.4939723014831543,2.0573955040738205,KMeans
50,3,3,480,10,5,4.139405012130737,2.89447181279848,BisectingKMeans
50,3,3,480,10,5,3.290581703186035,124.36140559564342,GaussianMixture
10,5,3,480,10,5,0.6358277797698975,1.0371958941924933,KMeans
10,5,3,480,10,5,1.6403207778930664,1.9952519452033073,BisectingKMeans
