maxIteration,Clusters,Workers,ByteSize,RecordCount,FeaturesCount,ExecutionSpeed,Accuracy,Algorithm
10,2,1,320,10,3,4.08943772315979,1.9975440871405667,KMeans
10,2,1,320,10,3,1.457165002822876,2.446643619477089,BisectingKMeans
10,2,1,320,10,3,4.222683668136597,2.7331495184049777,GaussianMixture
25,2,1,320,10,3,0.945911169052124,1.9975440871405667,KMeans
25,2,1,320,10,3,1.8134214878082275,2.446643619477089,BisectingKMeans
25,2,1,320,10,3,0.819251537322998,2.7331495184049777,GaussianMixture
50,2,1,320,10,3,0.7202112674713135,1.9975440871405667,KMeans
50,2,1,320,10,3,2.8598902225494385,2.446643619477089,BisectingKMeans
50,2,1,320,10,3,0.7110786437988281,2.7331495184049777,GaussianMixture
10,3,1,320,10,3,0.5857365131378174,1.3442682532993158,KMeans
10,3,1,320,10,3,1.1615347862243652,1.0268597312136931,BisectingKMeans
10,3,1,320,10,3,0.8298931121826172,46.98324216249581,GaussianMixture
25,3,1,320,10,3,0.5622248649597168,1.3442682532993158,KMeans
25,3,1,320,10,3,2.4844412803649902,1.0268597312136931,BisectingKMeans
25,3,1,320,10,3,1.5625357627868652,100.87309272725653,GaussianMixture
50,3,1,320,10,3,0.5512080192565918,1.3442682532993158,KMeans
50,3,1,320,10,3,4.143693447113037,1.0268597312136931,BisectingKMeans
50,3,1,320,10,3,2.686415195465088,4.640935608781989,GaussianMixture
10,5,1,320,10,3,0.5421009063720703,0.5500023961385252,KMeans
10,5,1,320,10,3,1.4237263202667236,0.7135651314071099,BisectingKMeans
10,5,1,320,10,3,0.6656494140625,153.2969984898081,GaussianMixture
25,5,1,320,10,3,0.4849975109100342,0.5500023961385252,KMeans
25,5,1,320,10,3,3.046513795852661,0.7135651314071099,BisectingKMeans
25,5,1,320,10,3,1.3722543716430664,218.27628687097695,GaussianMixture
50,5,1,320,10,3,0.45883893966674805,0.5500023961385252,KMeans
50,5,1,320,10,3,5.824538469314575,0.7135651314071099,BisectingKMeans
50,5,1,320,10,3,2.5328664779663086,143.9584095311476,GaussianMixture
10,2,1,480,10,5,0.6216027736663818,3.37498401911036,KMeans
10,2,1,480,10,5,0.6112451553344727,3.675025657419633,BisectingKMeans
10,2,1,480,10,5,0.6611030101776123,125.62464762002716,GaussianMixture
25,2,1,480,10,5,0.6625576019287109,3.37498401911036,KMeans
25,2,1,480,10,5,1.4120264053344727,3.675025657419633,BisectingKMeans
25,2,1,480,10,5,1.5660696029663086,125.62464762002716,GaussianMixture
50,2,1,480,10,5,0.6265289783477783,3.37498401911036,KMeans
