maxIteration,Clusters,Workers,ByteSize,RecordCount,FeaturesCount,ExecutionSpeed,Accuracy,Algorithm
10,2,4,320,10,3,5.858849763870239,1.7078993059985963,KMeans
10,2,4,320,10,3,3.0429182052612305,1.7078993059985963,BisectingKMeans
10,2,4,320,10,3,4.949950695037842,10.10326673823565,GaussianMixture
25,2,4,320,10,3,1.7492420673370361,1.7078993059985963,KMeans
25,2,4,320,10,3,2.1554174423217773,1.7078993059985963,BisectingKMeans
25,2,4,320,10,3,2.7159547805786133,10.10326673823565,GaussianMixture
50,2,4,320,10,3,0.8895230293273926,1.7078993059985963,KMeans
50,2,4,320,10,3,3.2963619232177734,1.7078993059985963,BisectingKMeans
50,2,4,320,10,3,0.8539261817932129,10.10326673823565,GaussianMixture
10,3,4,320,10,3,0.7740106582641602,0.8722694721863864,KMeans
10,3,4,320,10,3,1.292966365814209,0.8722694721863864,BisectingKMeans
10,3,4,320,10,3,0.9531629085540771,41.50615585420615,GaussianMixture
25,3,4,320,10,3,0.6597628593444824,0.8722694721863864,KMeans
25,3,4,320,10,3,2.545271873474121,0.8722694721863864,BisectingKMeans
25,3,4,320,10,3,1.781792402267456,41.506154490444324,GaussianMixture
50,3,4,320,10,3,0.5505650043487549,0.8722694721863864,KMeans
50,3,4,320,10,3,4.460700750350952,0.8722694721863864,BisectingKMeans
50,3,4,320,10,3,2.965073585510254,15.98336398647843,GaussianMixture
10,5,4,320,10,3,0.598992109298706,0.3081213647781678,KMeans
10,5,4,320,10,3,1.6560108661651611,0.6156151475852165,BisectingKMeans
10,5,4,320,10,3,0.6807010173797607,63.29712877293244,GaussianMixture
25,5,4,320,10,3,0.5462028980255127,0.3081213647781678,KMeans
25,5,4,320,10,3,3.2977585792541504,0.6156151475852165,BisectingKMeans
25,5,4,320,10,3,1.4341697692871094,190.63413613258498,GaussianMixture
50,5,4,320,10,3,0.4496591091156006,0.3081213647781678,KMeans
50,5,4,320,10,3,5.578871965408325,0.6156151475852165,BisectingKMeans
50,5,4,320,10,3,2.3286221027374268,43.853660157670504,GaussianMixture
10,2,4,480,10,5,0.9311983585357666,3.0253376393722684,KMeans
10,2,4,480,10,5,0.941403865814209,3.1867985983985636,BisectingKMeans
10,2,4,480,10,5,0.9137213230133057,54.139324755438665,GaussianMixture
25,2,4,480,10,5,0.647406816482544,3.0253376393722684,KMeans
25,2,4,480,10,5,1.55765700340271,3.1867985983985636,BisectingKMeans
25,2,4,480,10,5,0.7585768699645996,53.24349583048145,GaussianMixture
50,2,4,480,10,5,0.723268985748291,3.0253376393722684,KMeans
50,2,4,480,10,5,2.876453161239624,3.186798598398564,BisectingKMeans
50,2,4,480,10,5,0.6175224781036377,53.23564492236031,GaussianMixture
10,3,4,480,10,5,0.5129556655883789,1.989679420762636,KMeans
10,3,4,480,10,5,1.0244879722595215,2.389594347356381,BisectingKMeans
10,3,4,480,10,5,0.6957859992980957,10.507701401951484,GaussianMixture
25,3,4,480,10,5,0.43970155715942383,1.989679420762636,KMeans
25,3,4,480,10,5,2.5293896198272705,2.3895943473563808,BisectingKMeans
25,3,4,480,10,5,1.573749303817749,162.1860775979288,GaussianMixture
50,3,4,480,10,5,0.4924929141998291,1.989679420762636,KMeans
50,3,4,480,10,5,4.239591360092163,2.3895943473563808,BisectingKMeans
50,3,4,480,10,5,2.911992311477661,161.84844850565986,GaussianMixture
10,5,4,480,10,5,0.6418309211730957,1.0384315364048924,KMeans
10,5,4,480,10,5,1.5236713886260986,1.2213904903132426,BisectingKMeans
10,5,4,480,10,5,0.6735002994537354,78.11501693763354,GaussianMixture
25,5,4,480,10,5,0.5163421630859375,1.0384315364048924,KMeans
25,5,4,480,10,5,3.08087158203125,1.2213904903132424,BisectingKMeans
25,5,4,480,10,5,1.4317598342895508,295.0051752962181,GaussianMixture
50,5,4,480,10,5,0.5218276977539062,1.0384315364048924,KMeans
50,5,4,480,10,5,5.92109227180481,1.2213904903132426,BisectingKMeans
50,5,4,480,10,5,3.0020437240600586,60.60172853213916,GaussianMixture
10,2,4,880,10,10,0.8269796371459961,8.27495469446489,KMeans
10,2,4,880,10,10,0.871748685836792,7.548746398601093,BisectingKMeans
10,2,4,880,10,10,0.7695834636688232,0.8901902593691433,GaussianMixture
25,2,4,880,10,10,0.5581512451171875,8.27495469446489,KMeans
25,2,4,880,10,10,1.2732133865356445,7.548746398601093,BisectingKMeans
25,2,4,880,10,10,1.4231886863708496,53.76612396561734,GaussianMixture
50,2,4,880,10,10,0.5487148761749268,8.27495469446489,KMeans
50,2,4,880,10,10,2.4041450023651123,7.548746398601092,BisectingKMeans
50,2,4,880,10,10,1.9856910705566406,127.92782892049222,GaussianMixture
10,3,4,880,10,10,0.4750669002532959,5.124844711202252,KMeans
10,3,4,880,10,10,0.9629247188568115,7.050975332474332,BisectingKMeans
10,3,4,880,10,10,0.6821029186248779,-83.58164059915836,GaussianMixture
25,3,4,880,10,10,0.45875000953674316,5.124844711202252,KMeans
25,3,4,880,10,10,2.2472550868988037,7.050975332474332,BisectingKMeans
25,3,4,880,10,10,1.3834025859832764,241.52563203291004,GaussianMixture
50,3,4,880,10,10,0.45699071884155273,5.124844711202252,KMeans
50,3,4,880,10,10,3.7553982734680176,7.050975332474332,BisectingKMeans
50,3,4,880,10,10,1.0242979526519775,257.79009276367685,GaussianMixture
10,5,4,880,10,10,0.4987189769744873,3.741023054120363,KMeans
10,5,4,880,10,10,1.3422014713287354,3.9839776254678907,BisectingKMeans
10,5,4,880,10,10,0.6570069789886475,365.18852828925685,GaussianMixture
